user;categoria
6768819152;80
8100375722;80
1110359868;43
1133028974;43
5052753137;43
5416818885;43
6037523202;43
6199057896;43
8202322544;22
9618456172;22
7098551678;43
1340999441;84
7300588078;57
5899265345;68
5793121335;39
6932345102;57
9223366494;39
9587112440;51
3903812187;44
1296865567;27
7827381082;68
6506010658;82
6719138204;27
8895374032;47
7987899211;83
1970843466;27
5088263282;29
7540916681;29
1681904866;29
1945963261;29
3396736261;29
4680756431;29
6376914371;29
7392278331;29
7675933795;29
1688001670;11
3661735996;60
1416489986;39
3505915250;39
3132832851;27
3133882252;27
7738418951;27
5136826335;67
7688843891;67
1430948528;94
4907076926;83
3760871282;83
5949791711;50
3851733071;30
1735984918;65
1734690571;67
6833473557;51
3490085321;51
1194236482;94
2412720205;94
5894763816;83
1914460461;65
2152299803;47
6897672266;47
9152354102;47
3261005004;51
5479037401;89
9764713347;67
1250805232;94
8432963281;27
3206302622;51
7160050384;35
8918055667;68
6775603101;5
9788795181;5
7387344584;27
1145489443;20
7205136216;68
6304145221;51
7472268841;44
3480722081;50
4199252356;22
7837240575;60
3851733071;30
1058047770;83
7140332896;51
3310191745;72
7830925881;72
4288944553;27
8879616703;24
3851733071;30
5718098210;27
4817629951;90
9077337944;90
9712306932;90
8951305321;56
4754629741;58
2052953220;108
9874644354;97
5288465047;83
7507838622;92
3851733071;30
4713511972;108
4859789368;4
4620828507;7
9137772642;4
1342928613;72
2720915212;72
5634468141;72
2309978684;67
3481500048;67
6155444752;67
7303729925;67
9331574484;67
8221527652;7
6066774661;27
8302669461;27
6423652906;43
9134042167;51
1145489443;108
3726765936;60
3037921136;24
4694789374;68
4474161997;94
1971310550;29
5046359624;75
8358233031;67
7928089745;56
1900451951;34
6648499812;34
1454207414;92
9524958025;51
5894212210;94
3719998555;67
7879923536;35
5788156153;29
1647960130;58
9816072521;56
3780757251;47
3934124321;47
5078796335;47
9874644354;47
1145489443;18
2647660078;27
1059655455;27
3025712458;5
7837240575;67
9597005278;51
2316704728;94
3663415761;94
3678893910;27
6080162756;35
5190185196;56
4191910101;66
9822998021;83
8892940131;39
6897735702;94
7683626181;30
2933967847;27
5397516364;27
6568474313;27
4461377704;30
7084005696;27
3856522502;51
1942502130;21
1912576418;39
4722819638;65
8234069053;65
3584488352;67
3851733071;30
6495720962;38
3110160184;62
5151414485;5
2603775937;31
1552769183;29
7542728540;29
1178231122;89
3820960631;67
9422934081;96
9566837917;27
8596557716;44
1093655510;63
5932352606;108
1037748401;27
6288544811;11
6827649645;3
3851733071;30
4419980446;27
4491066735;27
4438098278;68
3467164181;39
4339506313;51
7964844911;62
5477173895;51
3133882252;65
3148903020;90
5747022475;5
4193993654;51
2671979118;50
4298498963;29
1376206542;44
2293584291;68
9655085592;91
5092126358;27
4301297913;51
9355209405;67
5986121174;89
1484142124;29
9227437602;29
9355209405;29
9247850908;68
8803974682;24
1583947595;51
8659319431;31
2440734330;39
4852239781;45
9805078182;68
9582957846;67
7403076402;83
6286284142;39
5505834470;62
3418178800;31
2087390451;90
1445859572;62
5456878731;29
2871833964;66
5999254354;51
4718316770;67
5945679352;56
3814902832;31
5933553402;89
4461377704;30
5986121174;22
6749067712;30
7088322583;83
1484142124;3
3632789794;29
9800692720;44
5218415364;25
4116894905;56
3996272070;5
1145489443;36
9249390021;36
9355209405;30
2819462772;27
9152957864;27
9634776746;57
6622236843;35
8940528513;51
7837240575;67
3104951301;67
3754850676;65
4985524967;39
8490708261;39
1484142124;67
4170989021;67
4996275525;67
9067423097;24
8165650558;39
2061989625;43
3740269122;27
4443403681;27
9228472233;27
4064073958;51
4665103282;39
8155183784;39
8031938125;68
7519467818;53
7924651301;108
5048926134;33
2584928341;30
4497173478;51
4630587505;51
8786526192;27
2403055321;110
1579221211;57
1819884455;29
7733988880;29
2550416008;51
5672439027;32
5352876842;90
5276665498;62
9761039606;94
1571678752;28
3831067475;39
9443112651;39
3088147486;89
4336808086;89
9249941482;89
6277628677;90
6289611201;90
8704438680;90
1643464547;47
8667414405;98
9903107326;51
2284348175;39
3428031115;60
6618204725;87
2121756996;89
6558705172;89
3801110210;51
